TOO MUCH FIBRE,85,07:24,07:57,08:45,08:55,09:12,10:11,10:27,11:20,12:15,12:52,13:37,14:02,06:38
ONLY OUT FOR A STROLL,87,07:26,08:02,08:56,09:08,09:27,10:43,11:00,12:05,13:17,14:00,14:51,15:24,07:58
WHERE'S THE BBQ,95,07:34,08:17,09:12,09:24,09:46,10:52,11:09,12:12,13:20,14:07,15:06,15:39,08:05
GOOD EVANS,99,07:38,08:19,09:17,09:30,09:53,11:06,11:27,12:30,13:40,14:30,15:33,16:12,08:34
PEGASUS EXPLORERS,86,07:24,08:15,09:02,09:15,09:38,10:55,11:16,12:29,13:50,14:50,15:55,16:31,09:07
BELPERITES B,92,07:30,08:10,09:10,09:22,09:45,11:04,11:25,12:33,13:54,14:50,15:58,16:40,09:10
WEST SUSSEX SCOUTS,81,07:20,08:04,09:02,09:15,09:37,10:54,11:10,12:25,13:43,14:39,15:52,16:34,09:14
WHITE PEAK II,101,07:40,08:22,09:23,09:36,10:04,11:28,11:50,13:05,14:29,15:26,16:39,17:24,09:44
THE BLAKEDOWN THREE,43,06:42,07:30,08:37,08:51,09:15,10:36,10:59,12:20,13:41,14:39,15:52,16:36,09:54
LONG EATON OLD MEN,13,06:12,06:57,07:58,08:12,08:36,10:03,10:27,11:45,13:13,14:08,15:23,16:11,09:59
BANANA SPLITS,89,07:28,08:11,09:12,09:24,09:48,11:16,11:36,13:04,14:35,15:37,16:50,17:33,10:05
SUB ZERO,64,07:02,07:47,08:46,08:59,09:26,10:55,11:15,12:29,13:59,15:03,16:20,17:12,10:10
TOTLEY AC,84,07:22,08:08,09:12,09:24,09:52,11:25,11:45,13:06,14:35,15:38,16:56,17:48,10:26
LINCOLN BOUNDERS,100,07:38,08:23,09:30,09:44,10:09,11:43,12:06,13:30,15:06,16:11,17:34,18:25,10:47
QUEST XXXB,98,07:36,08:27,09:45,09:57,10:25,11:51,12:14,13:44,15:21,16:20,17:39,18:26,10:50
I HATE THIS BIT,61,07:00,07:45,08:49,09:03,09:29,11:00,11:30,12:56,14:36,15:45,17:03,17:54,10:54
